記事番号,棚,ファイル名,現在の記述,修正案,根拠,出典,検出バッチ,採否,対応日
165,beauty,165_beauty_using-a-hair-dryer.md,- 独立行政法人製品評価技術基盤機構（NITE）「ヘアドライヤーの事故」   https://www.nite.go.jp/jiko/chuikanki/,- 独立行政法人製品評価技術基盤機構（NITE）製品安全情報マガジン Vol.379「ヘアドライヤーの事故」（2021年4月27日）   https://www.nite.go.jp/jiko/chuikanki/mailmagazin/2021fy/vol379_210428.html,記載URLは注意喚起の一覧ディレクトリ。本文が参照している「ヘアドライヤーの事故」はNITE製品安全情報マガジンVol.379に対応する。,https://www.nite.go.jp/jiko/chuikanki/mailmagazin/2021fy/vol379_210428.html; https://www.nite.go.jp/jiko/chuikanki/kyouzai/dvdhandbook2_dryer.html,jr_026,,
165,beauty,165_beauty_using-a-hair-dryer.md,- 電気用品安全法（PSE）の対象製品で、**吸込口のほこりの詰まり**は過熱・発火の原因になります。製品評価技術基盤機構（NITE）はドライヤーの**吸込口の清掃**と**コードのねじれ・断線**に注意喚起しています。,- 電気用品安全法（PSE）の対象製品で、**吸込口のほこりの詰まり**は過熱・発火の原因になります。製品評価技術基盤機構（NITE）は、**吸込口に髪やほこりを吸い込ませないこと**と、**コードを本体に巻き付けたりねじったまま使わないこと（芯線の半断線から発火に至る例がある）**を注意喚起しています。,NITEの注意喚起の中身は「吸込口に髪を近づけない」「コードを本体に巻き付けない・ねじらない」。コード付け根の半断線→短絡発火の事故事例（事故情報特記ニュースNo.28）も公表されている。本文の要約が実際の注意点とずれている。,https://www.nite.go.jp/jiko/chuikanki/mailmagazin/2021fy/vol379_210428.html; https://www.nite.go.jp/jiko/chuikanki/specialnews/028news.html,jr_026,,
165,beauty,165_beauty_using-a-hair-dryer.md,| 髪の表面温度の目安 | **60〜70℃を超えない**ように動かし続ける（製品の説明書の考え方） |,| 髪に当たる風の温度 | 吹き出し口で約100〜120℃でも、**15〜20cm離すと約60〜70℃**まで下がるとされる。**同じ場所に当て続けない** |,流通している数値は「距離20cmで風温が約60〜70℃に下がる」という距離と風温の関係で、「製品の説明書が定める髪の表面温度の上限」という一次情報は確認できなかった。根拠のある形に言い換えるのが安全。,https://salonia.jp/column/hair/hair-how-to/vol_cl28/; https://www.kao.com/jp/haircare/hair/3-7/,jr_026,,
166,beauty,166_beauty_hair-oil.md,## A. 最大の誤解は「多くつければツヤが出る」です。つけすぎは重くベタつき、頭皮につけると毛穴詰まりの原因になります。目安は「タオルドライ後の濡れた髪に、1〜2滴（ショート）〜3〜4滴（ロング）を、毛先中心に」です。,## A. 最大の誤解は「多くつければツヤが出る」です。つけすぎは重くベタつき、頭皮につけると毛穴詰まりの原因になります。目安は「タオルドライ後の濡れた髪に、1滴（ショート）〜3〜4滴（ロング）を、毛先中心に」です。,記事内の内部矛盾。導入（A）は「1〜2滴（ショート）」だが、直後の表は「ショート＝1滴〜半プッシュ」「ミディアム＝2〜3滴」。表に合わせて統一が必要。,,jr_027,,
166,beauty,166_beauty_hair-oil.md,- 日本化粧品工業会「化粧品等の適正広告ガイドライン」   https://www.jcia.org/user/business/advertising,- 日本化粧品工業会「化粧品等の適正広告ガイドライン2020年版」   https://www.jcia.org/user/business/advertising/,同ガイドラインの現行版は2020年版（2020年6月15日発行、2017年版からの改正新旧対照表あり）。版年を明示するのが正確。,https://www.jcia.org/user/business/advertising/; https://www.jcia.org/user/common/download/business/advertising/JCIA20200615_ADguide_comparison_table.pdf,jr_027,,
167,beauty,167_beauty_bath-additives.md,- 厚生労働省「医薬部外品の効能効果の範囲」   https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/iyakuhin/keshouhin/index.html,- 厚生労働省「医薬部外品の効能又は効果の範囲について」（薬食審査発第1225001号）   https://www.mhlw.go.jp/file/06-Seisakujouhou-11120000-Iyakushokuhinkyoku/yakuyou_kounou_1.pdf,リンク先は厚労省「化粧品・医薬部外品等ホームページ」という入口ページで、効能効果の範囲そのものは載っていない。範囲を定めるのは薬食審査発第1225001号（平成20年12月25日）。浴用剤の効能は同通知および浴用剤製造販売承認基準（薬食発0325第39号）で確認できる。,https://www.mhlw.go.jp/file/06-Seisakujouhou-11120000-Iyakushokuhinkyoku/yakuyou_kounou_1.pdf; https://www.mhlw.go.jp/web/t_doc?dataId=00tc0826&dataType=1&pageNo=1,jr_027,,
167,beauty,167_beauty_bath-additives.md,- 日本浴用剤工業会「入浴剤の種類と使い方」   https://www.jbia.org/,- 日本浴用剤工業会「入浴剤の効果とメカニズム」   https://www.jbia.org/knowledge3.html,炭酸ガス系入浴剤の作用（湯に溶けた炭酸ガスが皮膚から吸収され血管を拡げる／効果は約2時間持続）を説明しているのは同会サイトの当該ページ。トップページでは本文の記述に対応しない。,https://www.jbia.org/knowledge3.html; https://www.jbia.org/faq01.html,jr_027,,
167,beauty,167_beauty_bath-additives.md,- 消費者庁「入浴中の事故に注意（高齢者の入浴事故）」   https://www.caa.go.jp/policies/policy/consumer_safety/caution/,- 消費者庁「冬季に多発する高齢者の入浴中の事故に御注意ください！」   https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_042,本文の「41℃以下・10分程度」は消費者庁の当該注意喚起（湯温41度以下、湯につかる時間10分までを目安）に対応する。リンクは注意喚起の一覧ページのままで資料を特定できていない。,https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_042; https://www.caa.go.jp/policies/policy/consumer_safety/caution/caution_042/assets/consumer_safety_cms204_20201119_02.pdf,jr_027,,
168,beauty,168_beauty_body-wash-vs-soap.md,- 厚生労働省「医薬部外品の効能効果の範囲」   https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/iyakuhin/keshouhin/index.html,- 厚生労働省「医薬部外品の効能又は効果の範囲について」（薬食審査発第1225001号）   https://www.mhlw.go.jp/file/06-Seisakujouhou-11120000-Iyakushokuhinkyoku/yakuyou_kounou_1.pdf,167と同じ。リンク先は入口ページで、医薬部外品の効能効果の範囲（薬用石けん・ボディソープの「体臭を防ぐ」「にきびを防ぐ」等）は薬食審査発第1225001号に記載。,https://www.mhlw.go.jp/file/06-Seisakujouhou-11120000-Iyakushokuhinkyoku/yakuyou_kounou_1.pdf,jr_027,,
168,beauty,168_beauty_body-wash-vs-soap.md,- 公益社団法人日本皮膚科学会「皮膚科Q&A　皮膚の清潔」   https://www.dermatol.or.jp/qa/,- 公益社団法人日本皮膚科学会「皮膚科Q&A」   https://www.dermatol.or.jp/qa/index.html,日本皮膚科学会「皮膚科Q&A」に「皮膚の清潔」という項目は確認できない（項目はアトピー性皮膚炎・にきび・脱毛症・爪の病気などの疾患別）。URLも索引ページを指していない。,https://www.dermatol.or.jp/qa/index.html,jr_027,,
168,beauty,168_beauty_body-wash-vs-soap.md,| 主な洗浄成分 | **石けん（脂肪酸ナトリウム等）**、**弱アルカリ性（pH9〜10）** | 合成界面活性剤または石けん系。**中性〜弱酸性**の製品が多い |,| 主な洗浄成分 | **石けん（脂肪酸ナトリウム等）**、**弱アルカリ性（pH9.5〜10.5程度）** | 合成界面活性剤または石けん系。**中性〜弱酸性**の製品が多い |,石けん（水溶液）のpHは一般に9.5〜10.5とされる。「pH9〜10」は下限がやや低く、実測の代表値と合わない。,https://www.ecorea.co.jp/faq/faq-sekken-alkali/; https://www.drbronner.jp/journal/1949/,jr_027,,
169,beauty,169_beauty_nail-care-and-removers.md,- 国民生活センター「ジェルネイルによる危害」   https://www.kokusen.go.jp/,- 国民生活センター 消費者トラブル解説集「ネイルサロンでジェルネイルをしてもらったら、指先が腫れた」   https://www.kokusen.go.jp/t_box/data/t_box-faq_qa2013_60.html,「ジェルネイルによる危害」というタイトルの資料は確認できず、URLもトップページ。実在するページ名・URLに置き換える。,https://www.kokusen.go.jp/t_box/data/t_box-faq_qa2013_60.html,jr_027,,
169,beauty,169_beauty_nail-care-and-removers.md,- 公益社団法人日本皮膚科学会「皮膚科Q&A　爪の病気」   https://www.dermatol.or.jp/qa/,- 公益社団法人日本皮膚科学会「皮膚科Q&A　爪の病気」   https://www.dermatol.or.jp/qa/qa12/index.html,「爪の病気」は皮膚科Q&Aの qa12 に置かれている。現状のURLは索引にも当該項目にも解決しない。公開前に qa12 が「爪の病気」であることを原文で要確認。,https://www.dermatol.or.jp/qa/index.html,jr_027,,
171,fashion,171_fashion_silk-care.md,| 洗濯表示 | **桶に手＝手洗い可**、桶に×＝家庭洗濯不可 | JIS L0001 |,| 洗濯表示 | **桶に手＝手洗い可（上限40℃）**。2024年8月改正で**「30」入りの30℃手洗い記号**も追加。桶に×＝家庭洗濯不可 | JIS L0001（2024年改正） |,JIS L 0001:2024改正で、従来の手洗い記号（40℃を限度）に加え、水温30℃を限度とする手洗い記号が新設され、記号は43種類になった。絹製品は新記号が付く可能性が高く、区別の説明が必要。,https://www.kaken.or.jp/carelabel2024; https://nissenken.or.jp/news/jisl0001_20240820kaisei_new/,jr_028,,
171,fashion,171_fashion_silk-care.md,- 洗濯表示の**三角に×**（漂白不可）は絹製品のほぼ全部に付いています。**酸素系漂白剤も不可**の場合が多いので、表示を確認します。,- 洗濯表示の**三角に×**（漂白不可）は多くの絹製品に付いています。**酸素系漂白剤も不可**の場合が多いので、表示を確認します。,「ほぼ全部」と断定できる公的な統計・調査は見当たらない。塩素系漂白不可は共通するが、酸素系の可否は製品により分かれる。,https://www.caa.go.jp/policies/policy/representation/household_goods/guide/wash_02.html,jr_028,,
171,fashion,171_fashion_silk-care.md,絹は**虫に食われやすい**繊維で防虫剤は必要ですが、**防虫剤が直接触れると変色**することがあります。**不織布に包み、防虫剤は衣類の上**に置きます。長期保管なら**年に1〜2回、陰干し**します。,絹は**虫に食われやすい**繊維で防虫剤は必要ですが、**防虫剤が直接触れると変色**することがあります。**不織布に包み、防虫剤は衣類の上**に置きます。**種類の違う防虫剤を混ぜて使うと溶けてシミになる**ことがあるため、入れ替えるときは古いものを取り除き、においを飛ばしてから新しいものを入れます。長期保管なら**年に1〜2回、陰干し**します。,しょうのう・ナフタリン・パラジクロルベンゼンは併用不可で、併用すると溶けて衣類にシミができる。国民生活センターも、種類を変える際は古い防虫剤を取り除き、風をあててにおいを飛ばすよう案内している。,https://www.kokusen.go.jp/t_box/data/t_box-faq_qa2015_11.html; https://www.zenkuren.or.jp/user/insecticide,jr_028,,
172,fashion,172_fashion_storing-shoes.md,| 合皮・スニーカーのソール | **数年で加水分解**（履いていなくても進む） | ポリウレタンの性質 |,| 合皮・スニーカーのソール | **製造から2〜3年ほどで加水分解が表面化**（履いていなくても進む） | ポリウレタンの性質 |,ポリウレタン樹脂は空気中の水分で通常2〜3年で劣化し、クリーニング事故賠償基準では合成皮革製外衣の平均使用年数を3年としている。「数年」より具体的に書ける。,https://www.zenkuren.or.jp/news/2949,jr_028,,
